card_id,card_name,card_title,card_handle,card_desc,card_desc_add,card_image,share_image,avatar_image
HIGH_PRIESTESS,The High Priestess,The Wellness Guru,witchy.crystals.n.stuff,"This one’s for the CBD-and-crystal queens out there just being witchy and burning sage. The High Priestess is mysterious, intuitive, and probably sponsored by Moon Juice. Her captions are 80% astrology, 20% questions like, “What’s your aura telling you today?” She’s the reason #manifesting has more hashtags than the word ""career."" Stevie Nicks cosplay not included.","The energy shift you’re feeling is Saturn, not your ex. Just breathe through it, babes.",https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28bdf8b0e80a4d920ab_T-01-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28bdf8b0e80a4d920ab_T-01-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676e8647142d18d1ab1054f1_hp.avif
FOOL,The Fool,The Viral Prankster,cl0ut.chaser,"You’re here for the chaos (and, as this is the Internet, you’re in good company). The Fool is the archetype for pranksters, clout chasers, and anyone who thinks dangling off a skyscraper without a harness is a personality. Love ‘em or hate ‘em, they’re the main characters in every “You won’t believe what happens next” Reel. Bottle of PRIME and internet slang not included, rizzler.",I filled my friend’s Cyber Truck with packing peanuts!,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28b6e9a47121ada1661_T-02-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28b6e9a47121ada1661_T-02-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676e86475d097bbff9f849c3_fool.avif
MAGICIAN,The Magician,The DIY Creator,hot.glue.havoc,"With hands that move faster than a toddler near an open paint can, The Magician is every DIY overlord on social media. This card rules the Craftiness Realm and can turn toilet paper rolls into a chandelier or make a gourmet dinner out of three sad fridge items. Don't worry, you're not alone. They're making art out of plungers and screws, meanwhile we're eating shredded cheese out of the bag like a gremlin.",I made my wedding dress entirely out of hot glue and sheer chaos. What should I make next?,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28bc0e03692ff18fb28_T-03-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28bc0e03692ff18fb28_T-03-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676e8647a3814d746d9dc88e_magic.avif
TOWER,The Tower,The Canceled Influencer,bye.bye.brand.deal,"Oh no. When The Tower appears, your feed is about to go down in flames. You’ve pissed off the algo and there’s no coming back. This card belongs to the problematic creators who didn’t read the room — or the Terms of Service. They’re always one Notes App apology away from a complete rebrand.",I’ve made a lot of mistakes and I’m stepping back to reflect. Please respect my privacy.,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28b32134cfb6ce6a6ed_T-04-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28b32134cfb6ce6a6ed_T-04-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676e864823bef4db1ec83508_tower.avif
EMPRESS,The Empress,The Aesthetic Overlord,rich.parents.rent.free,"All hail the moodboard. The Empress reigns over every impeccably curated grid you’ve ever seen. These influencers live for soft lighting, neutral tones, and plants that definitely cost more than your rent. Because having rich parents allows for a lifestyle most of us can't afford, curated identity included.",Find beauty in the little things. Touch some grass. 🌿✨,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28bf68c8fa4e0245ea8_T-05-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28bf68c8fa4e0245ea8_T-05-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676e86478fc067e7ad8d72b7_emp.avif
HERMIT,The Hermit,The Niche Meme Page,lord.hermit.crab,"The Hermit is your favorite anonymous shitposter, lurking in the shadows with niche memes so good they’re borderline art. They have a cult following but could walk past their biggest fan on the street without being recognized.",I accidentally liked my crush’s 2009 vacation photo. Thinking of just walking into the ocean.,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28b36b2005c3c5a3d41_T-06-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28b36b2005c3c5a3d41_T-06-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676e86488c931682a197f3c6_her.avif
LOVERS,The Lovers,The Couples Content Creator,oversharing4clout,"This card embodies love, harmony, and two people who absolutely cannot do anything without a ring light. These duos have turned their relationship into a full-blown business, complete with matching outfits and oversharing as a brand strategy. These people are one step away from a joint Facebook account. No one likes anyone that much.

Bonus points if they post a breakup video with 10 mid-roll ads.",We handcuffed ourselves together for 72 hours and it ended with one of us crying in a Taco Bell parking lot (not clickbait)!,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28c7286a11d2033198f_T-07-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28c7286a11d2033198f_T-07-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676e8647768a65278bfbfd40_love.avif
JUDGMENT,Judgment,The Drama Tea Spiller,drama.receipts.only,"Judgment is the ruler of messy receipts, breathless exposés, and comment sections that go on longer than a CVS receipt. These creators will pause exactly one frame to show a blurry screenshot that changes everything. If it happened online, they’ve already got a timeline, an analysis, and probably a merch line saying, ""I was here for the tea.""",HE LIED?!? THE TRUTH ABOUT THE ICED VANILLA LATTE SCANDAL 💀☕,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb400cb2a23a689096ddf_T-08-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb400cb2a23a689096ddf_T-08-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676e8647476a50b801ab7d7e_jud.avif
DEVIL,The Devil,The Hustle Bro,grind.or.die.trying,"Welcome to grindset hell, where the only thing scarier than the Devil is his LinkedIn profile. This card represents the self-proclaimed moguls who think taking a day off is a war crime. They’ll sell you a $5,000 course called How to Monetize Your Existence and make you question why you don’t already own a private island. My dude, being obsessed with The Wolf of Wall Street is not a good look.","Woke up at 4 a.m., cold-plunged into a bathtub of oat milk, flipped three NFTs, and pitched a startup idea to my dog. What’s your excuse?",https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28ba475f3b2a5070393_T-09-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28ba475f3b2a5070393_T-09-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676e8647a1f93eca621eeebe_devil.avif
CHARIOT,The Chariot,The Fitness Influencer,protein.powder.prophet,"Determined. Relentless. Sweaty. Chances of saying “rise and grind"" are extremely high.

The Chariot is the influencer whose gym selfies and motivational captions make you feel guilty about that fourth slice of pizza. They’ve got a supplement sponsor and a catchphrase like “Always bringing it!”",Discipline > Motivation. Check this fit. What did YOU do today?,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28c6d19dafa045453a8_T-10-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28c6d19dafa045453a8_T-10-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676e86488c931682a197f3d9_char.avif
DEATH,Death,The Rebranded Creator,rip.old.brand,"Death doesn’t mean the end — it means the algorithm tanked, so now it’s time to pivot. This card is for influencers who have reinvented themselves more times than your Netflix password. One day, they’re doing smoky-eye tutorials; the next, they’re explaining how to invest in alpaca farms. Their old niche? Dead. Their new niche? Probably also doomed, but hey, they’ve got a Canva logo for it. 

If Jake Paul can become a boxer who fights senior citizens, anything is possible.","Hey guys, I know this isn’t what you’re used to, but I’m so excited to launch my new series: ‘Meal Prepping for Gamers Who Believe in Astrology.’ Let’s grow together!",https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28c2a639c7e90e1cf39_T-11-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28c2a639c7e90e1cf39_T-11-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676e8647a3814d746d9dc86b_death.avif
SUN,The Sun,The Positivity Creator,hype.and.delusion,"The Sun is all about relentless optimism and making you feel like a trash human for not hand-weaving a blanket for your cat’s birthday. These creators are so cheerful, it’s borderline threatening. If their feed doesn’t make you cry happy tears while simultaneously questioning your life choices, are they even doing it right?",Started with $5 and a dream. Now Mom never has to drive her 2003 Honda again. 🌞💛 #Blessed #GrindPaysOff,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28db93a44d38973b8a1_T-12-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28db93a44d38973b8a1_T-12-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676e86482c1905887e6c0a76_sun.avif
TEMPERANCE,Temperance,The Balanced Life Coach,zen.guru,"Temperance is that influencer who insists you can achieve inner peace and a six-figure income if you just wake up at 5 a.m. and stop eating carbs. They’re part life coach, part cult leader, and 100% convinced they’ve cracked the code to existence. Their feed is a mix of pseudo-philosophy, overpriced planner ads, and smoothies that look like lawnmower clippings.","How I scaled my empire to 7 figures while meditating, journaling, and teaching my cat Spanish.",https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28d809fecee0d91e076_T-13-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28d809fecee0d91e076_T-13-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676e8648571b70360d52b773_temp.avif
HANGED_MAN,The Hanged Man,The Burnt-Out Creator,content.dead.inside,"This card is for influencers who’ve hit the content wall so hard their burnout has a subscriber count. Their “taking a break” posts are basically a seasonal tradition, and their fans have grown weirdly good at predicting when it’s coming. Will they return with a rebrand or quietly disappear to work at their cousin’s startup? Only the algorithm knows.","Social media is so toxic, but I’ll miss you guys. Except I probably won’t. Bye for now… or forever. IDK.",https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28d5b75956177901206_T-14-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28d5b75956177901206_T-14-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676e86478c2e509f4512a2f2_man.avif
WHEEL_OF_FORTUNE,The Wheel of Fortune,The One-Hit Wonder,one.trick.phony,"The Wheel of Fortune is the influencer equivalent of hitting the lottery… and immediately losing the ticket. One viral post launched them into fame, and now they’re clinging to relevance like their life depends on it.","Y’all loved the first one, so here’s me recreating it… but with my grandma this time! 😂🔥 #ForYou #PleaseGoViralAgain",https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28d7286a11d20331c4e_T-15-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28d7286a11d20331c4e_T-15-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676e86478fc067e7ad8d72bb_fort.avif
HIEROPHANT,The Hierophant,The Educator,gatekeep.gaslight.google,"The Hierophant is the all-knowing content creator who turns every niche fact into a TED Talk you didn’t ask for but now can’t stop watching. They’ve got charts, sources, and a whiteboard that’s seen some things. Whether they’re dissecting conspiracy theories or explaining why your moisturizer is literally ruining your life, their energy screams, “I have a slide deck for that.”",Here’s why the Roman Empire lives rent-free in your brain — and what it has to do with oat milk lattes. #NicheButMakeItFascinating,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28dcb2a23a68907d976_T-16-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676eb28dcb2a23a68907d976_T-16-1.jpg,https://cdn.prod.website-files.com/66b0cbf53f3798cc2ace2b05/676e86479cc394b4fb44ebb6_hiero.avif
